"bill","policy","sponsor","cosponsors"
"S_3051","Public Lands and Natural Resources","Sen. Barrasso, John [R-WY]","Sen. Heinrich, Martin [D-NM]"
"S_3052","Foreign Trade and International Finance","Sen. Grassley, Chuck [R-IA]","Sen. Wyden, Ron [D-OR]"
"S_3052","Foreign Trade and International Finance","Sen. Grassley, Chuck [R-IA]","Sen. McConnell, Mitch [R-KY]"
"S_3053","Health","Sen. Enzi, Michael B. [R-WY]","Sen. Tester, Jon [D-MT]"
"S_3054","Education","Sen. Murkowski, Lisa [R-AK]","Sen. Reed, Jack [D-RI]"
"S_3054","Education","Sen. Murkowski, Lisa [R-AK]","Sen. Braun, Mike  [R-IN]"
"S_3054","Education","Sen. Murkowski, Lisa [R-AK]","Sen. Cramer, Kevin [R-ND]"
"S_3054","Education","Sen. Murkowski, Lisa [R-AK]","Sen. Whitehouse, Sheldon [D-RI]"
"S_3054","Education","Sen. Murkowski, Lisa [R-AK]","Sen. Boozman, John [R-AR]"
"S_3054","Education","Sen. Murkowski, Lisa [R-AK]","Sen. Hoeven, John [R-ND]"
"S_3055","Education","Sen. Murkowski, Lisa [R-AK]","Sen. Reed, Jack [D-RI]"
"S_3055","Education","Sen. Murkowski, Lisa [R-AK]","Sen. Lankford, James [R-OK]"
"S_3055","Education","Sen. Murkowski, Lisa [R-AK]","Sen. Braun, Mike  [R-IN]"
